symbol,price,price_change
DOCS,79.23 +20.97 (+35.99%),20.97
BBAI,8.59 +1.82 (+26.88%),1.82
SWI,18.31 +3.28 (+21.82%),3.28
AFRM,75.22 +13.47 (+21.81%),13.47
ESE,158.57 +26.15 (+19.75%),26.15
PINS,40.00 +6.41 (+19.08%),6.41
NET,166.66 +25.14 (+17.76%),25.14
EXPE,202.37 +29.80 (+17.27%),29.8
OKLO,55.49 +7.73 (+16.19%),7.73
ULCC,9.34 +1.25 (+15.45%),1.25
LGF-A,9.63 +1.28 (+15.33%),1.28
LION,8.45 +1.07 (+14.50%),1.07
LGF-B,8.54 +1.08 (+14.48%),1.08
TTWO,208.77 +25.69 (+14.03%),25.69
G,54.95 +5.55 (+11.23%),5.55
SMR,25.84 +2.59 (+11.14%),2.59
MGNI,21.17 +2.03 (+10.61%),2.03
NBIS,38.13 +3.58 (+10.36%),3.58
TNXP,12.39 +1.15 (+10.23%),1.15
CLSK,11.33 +0.95 (+9.15%),0.95
MPWR,720.25 +59.35 (+8.98%),59.35
FUTU,105.64 +8.48 (+8.73%),8.48
TDOC,12.95 +0.98 (+8.19%),0.98
GELYY,44.51 +3.19 (+7.72%),3.19
IREN,12.47 +0.88 (+7.59%),0.88
VCTR,70.58 +4.94 (+7.53%),4.94
SMCI,36.28 +2.44 (+7.21%),2.44
CNTA,19.03 +1.19 (+6.67%),1.19
UBER,74.60 +4.61 (+6.59%),4.61
POST,112.55 +6.69 (+6.32%),6.69
PONY,14.00 +0.81 (+6.14%),0.81
TEM,68.96 +3.97 (+6.11%),3.97
SSNC,86.71 +4.91 (+6.00%),4.91
UPST,68.85 +3.71 (+5.70%),3.71
HII,168.49 +8.74 (+5.47%),8.74
FRHC,157.56 +7.95 (+5.31%),7.95
HIMS,42.55 +2.08 (+5.14%),2.08
HOOD,55.86 +2.69 (+5.06%),2.69
PPC,51.05 +2.40 (+4.93%),2.4
LI,26.02 +1.20 (+4.86%),1.2
ROKU,85.00 +3.92 (+4.83%),3.92
TRIP,18.29 +0.81 (+4.63%),0.81
GSHD,112.44 +4.83 (+4.49%),4.83
BZ,15.41 +0.65 (+4.40%),0.65
MESO,19.49 +0.80 (+4.28%),0.8
HBM,9.34 +0.37 (+4.12%),0.37
RDDT,225.23 +8.72 (+4.03%),8.72
LIF,44.55 +1.67 (+3.89%),1.67
TME,12.54 +0.47 (+3.89%),0.47
FINV,8.29 +0.31 (+3.88%),0.31
EDR,32.54 +1.18 (+3.76%),1.18
LNC,37.04 +1.27 (+3.55%),1.27
PANW,193.94 +6.57 (+3.51%),6.57
VKTX,32.56 +1.10 (+3.50%),1.1
AZPN,274.80 +9.25 (+3.48%),9.25
RXRX,7.49 +0.25 (+3.45%),0.25
HTHT,32.57 +1.07 (+3.40%),1.07
ENS,99.72 +3.26 (+3.38%),3.26
MLCO,5.52 +0.18 (+3.37%),0.18
DAR,39.75 +1.25 (+3.25%),1.25
TAL,13.18 +0.41 (+3.21%),0.41
TKO,166.37 +5.16 (+3.20%),5.16
MPNGY,39.40 +1.21 (+3.17%),1.21
NVT,67.88 +2.07 (+3.15%),2.07
BABA,103.51 +3.13 (+3.12%),3.13
WMG,32.72 +0.97 (+3.06%),0.97
